style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Folk,-1.0689961,0.9139967,0.20071653,-0.953501,-0.90030587,-2.4686298,-0.9330837,0.8542502,-1.5232983,0.7173859,1.7770256,1.2920562,-0.30573365,-0.5609835,-0.8725772,-1.9160696,-0.78408825,0.45395082,0.07585015,-0.26559138,-0.619186,0.4005921,-0.024473147,1.8157423,1.5187844,-0.7379933,-0.68732566,0.99094534,-0.45382202,-0.9589552,1.1492223,-0.89502996
Downtempo,-1.2959762,2.3778214,-1.4420536,-1.839168,-0.73950446,0.36567244,-1.5981613,0.80668885,0.3896684,0.7255589,-2.0568805,1.1425691,-0.34449232,-1.6227095,1.4101163,0.6561822,0.59974056,-0.6050071,-0.6978918,-0.4379909,-2.4408212,-1.2743523,-1.3862791,-0.78818434,-1.6383121,1.572756,1.0110347,-1.1321176,0.24020883,1.1308156,2.6004763,-0.43229985
Psychedelic_Rock,-1.2470407,1.6166283,0.30359012,1.7300568,-0.07012976,0.0009709405,-2.5104656,0.49470642,-1.2892046,0.25255173,2.1917646,1.1182826,0.3454723,0.39057675,0.33754957,-0.7832588,-1.8378756,-0.0071634096,1.3177302,-1.6011181,0.1448284,-1.3581357,-0.47816512,0.68892634,-1.8382027,-3.2838557,0.86131907,1.5465066,2.1939337,2.4464831,-1.4787123,-0.5311064
Rock_&_Roll,-1.3757597,0.8913267,-0.432157,3.145568,0.2350673,0.78295535,2.0322106,-0.82924646,-0.54921496,-1.2445405,2.6846645,1.3205009,-0.15933485,0.079810336,3.2051625,-1.4260818,0.09048093,0.25804326,0.6747139,0.34275794,0.709181,0.5255936,-0.08254667,2.640862,-0.48385453,-0.82734823,-0.72320265,1.2938718,1.6360028,0.15623924,-0.21017544,-0.5246201
Funk,0.7454528,0.97331774,-0.49451166,-0.45274642,-0.02679523,2.230113,-1.7186091,1.0271844,-0.86209744,-0.029316708,-0.37143746,-0.22566555,0.5999472,0.8508366,3.2305334,0.9491842,1.5249922,0.8155225,-2.5198758,-0.061873816,-0.35483027,1.1204119,-2.9129827,2.4748356,-1.5564339,-0.42878264,-0.84546435,-0.0012218975,-0.019956892,-0.062238924,-0.13778551,-2.5880618
Industrial,0.94173473,0.1688874,1.3686415,0.34529212,0.50092006,2.3899353,-3.5454893,0.9050983,1.1141607,0.98225105,0.46381012,0.1932252,-2.125936,0.92283213,-0.8967771,-0.07227071,-1.9046849,-3.0189507,1.2750362,-1.1576227,-0.6872628,-2.3425379,2.0061407,-3.0662882,-2.8836856,2.2985501,-0.043391008,-0.7609804,0.22261325,0.06822716,-0.16919024,1.746733
Soundtrack,-1.9973321,0.7535427,0.34011096,-1.6560348,0.29788905,1.8064326,-0.6270751,2.2414305,-0.49263147,-3.7613354,-0.98158467,1.9851136,-1.0192627,-0.07588902,1.4117023,-1.0300386,-0.16903546,-0.40566206,-0.7995076,-0.081102185,-0.87068886,0.16116568,-1.0475494,0.78817165,0.68770754,-1.6573561,1.111332,-1.0549165,0.0021494396,-0.5472509,0.7587342,0.6131363
Hard_Rock,-0.28588262,1.6868744,-0.8050814,3.2258234,1.9849004,-0.01836952,0.5010687,2.588403,-2.0434484,-0.79730946,1.2211698,1.5534768,-0.33529449,1.1693543,0.8490174,-3.0541446,0.6203534,0.8817835,-0.09885171,0.40818983,-0.4432297,0.57467115,0.33211127,0.65851283,-1.2129672,0.4727911,0.4124751,-0.6760403,2.2874417,1.0036616,-3.5310295,-0.844699
Trance,-1.1535023,2.0618975,-2.703729,-0.040335488,1.4899067,0.11192185,2.0944653,0.9108383,2.733004,0.023126034,-4.1015882,-1.4029323,0.63636726,-0.17626224,-0.32836205,0.28779423,2.0227022,-2.157167,-0.8006311,0.44943076,-2.5844092,-0.3265854,1.4835044,-1.3757719,-0.35156468,2.3239603,-0.39416498,0.6376425,-0.4473063,0.11917451,-0.6786828,0.55360395
Noise,0.7647129,0.7538959,2.2859724,2.841084,-1.4161389,-0.45293656,-2.4834445,0.49969202,1.160983,-0.2052822,1.1055322,1.7927018,-3.961555,0.5476385,-3.3289113,-0.5583039,-3.147291,0.5733465,1.4054184,-0.46222037,-1.7159669,-1.2728977,0.007264179,-2.5255744,-3.4341846,1.0687839,0.061163057,0.76081926,0.3887424,-0.4921368,1.2874467,1.1658635
